airline,origin_airport,Stopover_Airport,destination_airport,Origin_Departure_Delay,Stopover_Arrival_Delay,Stopover_Departure_Delay,Destination_Arrival_Delay
B6,SFO,LAS,LAS,10,1,6,-15
DL,SFO,LAX,LAX,11,12,35,15
AS,SFO,SEA,SEA,-6,-15,3,-17
VX,SFO,LAS,LAS,8,4,13,-9
VX,SFO,LAS,LAS,-2,-13,13,-9
DL,SFO,LAX,LAX,374,352,-3,-36
B6,SFO,BOS,BOS,141,132,68,66
AA,SFO,CLT,CLT,-2,-19,-1,-5
AA,SFO,CLT,CLT,-5,1,27,24
AA,SFO,DFW,DFW,13,-9,-3,-13
DL,SFO,LAX,LAX,3,-9,7,-27
DL,SFO,LAX,LAX,0,55,0,-36
AA,SFO,DFW,DFW,-5,-31,-2,-19
AA,SFO,ORD,ORD,6,-17,95,69
