airline,origin_airport,Stopover_Airport,destination_airport,Origin_Departure_Delay,Stopover_Arrival_Delay,Stopover_Departure_Delay,Destination_Arrival_Delay
AA,SFO,LAX,LAX,3,8,-5,-25
VX,SFO,LAX,LAX,13,47,21,15
VX,SFO,LAX,LAX,29,49,21,15
AA,SFO,LAX,LAX,68,63,-5,-7
AA,SFO,LAX,LAX,4,21,-5,-7
B6,SFO,FLL,FLL,206,208,1,2
B6,SFO,FLL,FLL,206,208,35,43
DL,SFO,ATL,ATL,-1,-12,5,0
AA,SFO,PHX,PHX,0,1,4,-20
DL,SFO,ATL,ATL,0,-13,62,73
DL,SFO,MSP,MSP,-1,-4,0,-18
AA,SFO,CLT,CLT,-2,5,-1,-7
AA,SFO,ORD,ORD,7,1,90,88
AA,SFO,DFW,DFW,-7,-26,46,63
DL,SFO,SLC,SLC,-6,-18,-2,0
B6,SFO,BOS,BOS,-7,-12,0,13
DL,SFO,LAX,LAX,-3,6,9,-15
AA,SFO,ORD,ORD,17,8,11,24
AA,SFO,DFW,DFW,15,-1,21,21
DL,SFO,LAX,LAX,13,1,7,-23
AA,SFO,ORD,ORD,1,-8,11,24
AA,SFO,CLT,CLT,-8,0,5,32
B6,SFO,BOS,BOS,-3,-22,20,18
DL,SFO,LAX,LAX,-3,-11,-3,-6
DL,SFO,LAX,LAX,-3,-11,7,-23
AS,SFO,SEA,SEA,-11,-15,-3,-2
DL,SFO,LAX,LAX,-4,-19,-2,-15
DL,SFO,LAX,LAX,-4,-19,1,-26
DL,SFO,LAX,LAX,-1,1,-2,-15
B6,SFO,BOS,BOS,-3,-8,7,15
AA,SFO,CLT,CLT,-2,-10,-3,-20
AA,SFO,CLT,CLT,-7,-21,-2,-14
AA,SFO,ORD,ORD,-3,-6,16,
AA,SFO,DFW,DFW,-8,-21,3,
B6,SFO,LAS,LAS,-4,-20,5,9
B6,SFO,BOS,BOS,-7,-15,50,65
B6,SFO,BOS,BOS,-7,-15,242,252
DL,SFO,LAX,LAX,-5,24,15,7
DL,SFO,LAX,LAX,-2,-6,15,7
AA,SFO,ORD,ORD,13,24,31,57
AA,SFO,DFW,DFW,-6,-3,-1,17
DL,SFO,LAX,LAX,26,33,-2,7
AA,SFO,ORD,ORD,-4,-24,31,57
AA,SFO,CLT,CLT,-5,-15,8,17
DL,SFO,LAX,LAX,-3,-3,-1,-4
AA,SFO,CLT,CLT,12,4,13,2
DL,SFO,LAX,LAX,133,136,4,-1
AS,SFO,SEA,SEA,-8,-11,8,-11
DL,SFO,LAX,LAX,28,7,-2,-6
B6,SFO,BOS,BOS,28,35,0,4
AA,SFO,CLT,CLT,-3,-13,-1,-27
DL,SFO,MSP,MSP,-5,-7,-5,-7
AA,SFO,CLT,CLT,6,13,8,-10
AA,SFO,ORD,ORD,-2,-7,-1,28
AA,SFO,DFW,DFW,8,7,53,50
DL,SFO,LAX,LAX,-4,25,4,1
B6,SFO,LAS,LAS,-5,-12,-2,3
DL,SFO,LAX,LAX,-6,-2,4,1
B6,SFO,BOS,BOS,-2,8,-2,-13
AA,SFO,ORD,ORD,4,9,25,14
AA,SFO,CLT,CLT,80,91,2,-9
B6,SFO,LGB,LGB,202,194,6,10
DL,SFO,LAX,LAX,147,164,14,4
DL,SFO,LAX,LAX,147,164,-2,-13
AS,SFO,SEA,SEA,35,26,-3,-8
DL,SFO,LAX,LAX,90,97,-2,-13
B6,SFO,LAS,LAS,98,87,17,25
VX,SFO,LAS,LAS,88,90,102,100
DL,SFO,LAX,LAX,89,80,0,-15
DL,SFO,LAX,LAX,89,80,14,4
AA,SFO,CLT,CLT,0,-1,-4,-14
AA,SFO,CLT,CLT,0,-1,0,-2
AA,SFO,CLT,CLT,0,3,-4,-14
AA,SFO,ORD,ORD,3,-14,-2,2
AA,SFO,DFW,DFW,-4,-20,0,-20
B6,SFO,LAS,LAS,-1,-12,0,-3
B6,SFO,BOS,BOS,1,21,-2,-5
B6,SFO,BOS,BOS,1,21,-6,-7
DL,SFO,LAX,LAX,47,40,-2,-9
DL,SFO,LAX,LAX,-5,-9,-2,-9
AA,SFO,ORD,ORD,-7,-28,-7,-1
AA,SFO,DFW,DFW,-4,-20,-1,-2
DL,SFO,LAX,LAX,-2,-9,33,1
AA,SFO,ORD,ORD,-5,-26,-7,-1
AA,SFO,CLT,CLT,-4,-11,-2,29
DL,SFO,LAX,LAX,-1,-8,-7,-22
DL,SFO,LAX,LAX,-1,-8,33,1
AS,SFO,SEA,SEA,-5,4,-9,-16
DL,SFO,LAX,LAX,19,12,-5,16
B6,SFO,LAS,LAS,15,8,-6,-5
AS,SFO,SEA,SEA,-15,-10,-9,-16
VX,SFO,LAS,LAS,12,11,-8,3
DL,SFO,LAX,LAX,10,3,-7,-8
DL,SFO,LAX,LAX,2,-13,-9,-9
DL,SFO,LAX,LAX,2,-13,-7,-8
DL,SFO,LAX,LAX,16,9,-9,-9
B6,SFO,BOS,BOS,-5,3,-7,-17
B6,SFO,BOS,BOS,-5,3,-10,-14
DL,SFO,MSP,MSP,-4,-20,2,-11
AA,SFO,CLT,CLT,-5,-19,2,-11
AA,SFO,DFW,DFW,-7,-2,19,9
B6,SFO,LAS,LAS,1,-15,-2,0
DL,SFO,LAX,LAX,-4,-11,-3,16
AA,SFO,ORD,ORD,5,-11,-7,-11
AA,SFO,DFW,DFW,-7,-27,-3,6
AA,SFO,ORD,ORD,-2,-22,-7,-11
DL,SFO,LAX,LAX,2,10,64,47
AA,SFO,CLT,CLT,11,-5,3,7
AS,SFO,SEA,SEA,-4,-3,0,-23
B6,SFO,LAS,LAS,7,-11,-7,-12
AS,SFO,SEA,SEA,-16,-26,0,-23
VX,SFO,LAS,LAS,-5,-15,-1,-6
B6,SFO,BOS,BOS,-5,-6,-3,-9
B6,SFO,BOS,BOS,-5,-6,-10,-26
AA,SFO,DFW,DFW,-7,-21,-4,-20
B6,SFO,LAS,LAS,24,13,2,-5
B6,SFO,BOS,BOS,4,1,10,-2
DL,SFO,LAX,LAX,-1,-3,9,-4
DL,SFO,LAX,LAX,-3,5,9,-4
AA,SFO,ORD,ORD,1,-1,-2,-11
AA,SFO,DFW,DFW,-3,-11,-4,-8
DL,SFO,LAX,LAX,88,77,-1,-2
AA,SFO,CLT,CLT,16,5,-5,-4
DL,SFO,LAX,LAX,58,60,-1,-2
AS,SFO,SEA,SEA,58,60,6,-15
DL,SFO,LAX,LAX,3,18,-6,7
B6,SFO,LAS,LAS,62,46,-2,-11
AS,SFO,SEA,SEA,18,21,6,-15
VX,SFO,LAS,LAS,25,32,56,50
DL,SFO,LAX,LAX,43,28,-6,3
DL,SFO,LAX,LAX,43,28,-3,-5
DL,SFO,LAX,LAX,12,13,-6,3
DL,SFO,LAX,LAX,12,13,-3,-5
B6,SFO,BOS,BOS,7,3,-1,-5
AA,SFO,CLT,CLT,-5,-14,30,41
DL,SFO,MSP,MSP,-3,-15,-2,-6
AA,SFO,CLT,CLT,-10,-14,3,-7
AA,SFO,ORD,ORD,1,4,19,19
AA,SFO,DFW,DFW,-6,-11,2,-1
B6,SFO,BOS,BOS,5,18,-6,-13
B6,SFO,BOS,BOS,5,18,2,1
DL,SFO,LAX,LAX,39,27,4,18
AA,SFO,ORD,ORD,0,0,-9,-18
AA,SFO,DFW,DFW,0,-4,-4,3
DL,SFO,LAX,LAX,-2,-6,-11,-9
AA,SFO,ORD,ORD,-6,-18,-9,-18
DL,SFO,LAX,LAX,18,16,-11,-4
AA,SFO,ORD,ORD,-5,-29,0,-16
AA,SFO,CLT,CLT,0,-6,0,13
DL,SFO,LAX,LAX,66,81,26,-2
AA,SFO,CLT,CLT,20,24,95,79
DL,SFO,LAX,LAX,128,127,12,7
B6,SFO,LAS,LAS,88,88,15,16
DL,SFO,LAX,LAX,166,161,-3,-9
DL,SFO,LAX,LAX,166,161,29,8
B6,SFO,BOS,BOS,76,58,0,-7
AA,SFO,CLT,CLT,26,24,-1,6
AA,SFO,ORD,ORD,0,-9,2,-9
AA,SFO,DFW,DFW,14,-2,9,1
DL,SFO,LAX,LAX,-2,-17,0,-34
DL,SFO,LAX,LAX,241,224,75,54
B6,SFO,BOS,BOS,-3,-18,1,-8
B6,SFO,LAS,LAS,-1,5,-1,-9
DL,SFO,LAX,LAX,-3,-2,41,19
AA,SFO,ORD,ORD,18,2,23,21
AA,SFO,CLT,CLT,18,23,0,3
DL,SFO,LAX,LAX,103,120,28,3
DL,SFO,LAX,LAX,183,196,17,16
DL,SFO,LAX,LAX,183,196,6,9
DL,SFO,LAX,LAX,113,139,17,16
